Risk ID,Category,Status,Tier,Risk Name,Description,Primary Mitigations,Secondary Mitigations
OP-AI1,Operational / Agent Infrastructure,New,Critical,Excessive Agency / Unauthorized Tool Execution,"Agent invoking tools, APIs, or system commands beyond authorized scope through misconfiguration, hallucination, or adversarial prompt injection. Root causes: excessive functionality, excessive permissions, excessive autonomy.","PL6 (Agent Boundary Spec), SE5 (Tool Access Control)","HI1 (HITL), HI3 (Runtime Intervention), OG9 (Access/Identity Mgmt)"
OP-AI2,Operational / Agent Infrastructure,New,Critical,Prompt Injection / Agent Workflow Hijacking,"User inputs altering agent behaviour in unintended ways, including indirect injection via retrieved documents. Agents with tool access can be hijacked mid-workflow.","PL5 (Red-Teaming), SE3 (Guardrails)","HI3 (Runtime Intervention), OG7 (Incident Response), OG8 (Testing/Auditing)"
OP-AI3,Operational / Agent Infrastructure,New,Critical,Confabulation and Hallucinated Agent Actions,LLMs producing plausible but factually incorrect outputs. Distinct from adversarial attacks. Agents acting on hallucinated information cause real damage.,"SE7 (Confabulation Detection), HI1 (HITL)",OG5 (Performance Monitoring)
OP-AI4,Operational / Agent Infrastructure,New,High,System Prompt and Internal Logic Leakage,"Agent system prompts encoding business logic, access controls, or sensitive architecture being extracted by users. Reveals internal rules exploitable to gain higher-level access.",SE3 (Guardrails),"OG5 (Performance Monitoring), OG7 (Incident Response)"
OP-AI5,Operational / Agent Infrastructure,New,High,Unbounded Agent Consumption and Cost Escalation,Crippling cloud bills from agents that get stuck in loops. The agent is not hacked – it just never stops.,"PL6 (Agent Boundary Spec), OG12 (Cost Monitoring)","SE5 (Tool Access Control), HI3 (Runtime Intervention), OG5 (Performance Monitoring)"
OP-AI6,Operational / Agent Infrastructure,New,High,Agent Memory Poisoning and State Corruption,Agents that remember things between conversations – until someone corrupts what they remember. A poisoned agent can forget its safety rules or learn harmful behaviours.,"PL6 (Agent Boundary Spec), OG5 (Performance Monitoring)","HI3 (Runtime Intervention), OG7 (Incident Response)"
OP-AI7,Operational / Agent Infrastructure,New,High,Multi-Agent Emergent Behaviour and Covert Coordination,"When you connect agents together, they sometimes develop behaviours none were individually instructed to do. One wrong output cascades through the chain.","SE6 (Multi-Agent Coordination), OG14 (Multi-Agent Auditing)","HI3 (Runtime Intervention), OG5 (Performance Monitoring)"
OP-AI8,Operational / Agent Infrastructure,New,Critical,Agent Skill and Tool Supply Chain Compromise,Add-ons and plugins your agents use are a security blind spot. 26.1% contain vulnerabilities; 5.2% show deliberate malicious intent. Your agent trusts the tool. The tool steals your data.,"PL11 (Skill/Vetting Registry), SE5 (Tool Access Control)","OG5 (Performance Monitoring), OG8 (Testing/Auditing), OG9 (Access/Identity Mgmt), PL7 (Supply Chain Assessment)"
OP-AI9,Operational / Agent Infrastructure,New,High,Agent Sprawl and Proliferation,"Five sprawl patterns: functional duplication, shadow agents, orphaned agents, permission creep, unmonitored delegation chains. 96.4% higher incidents in low-governance orgs.","PL11 (Skill/Vetting Registry), OG13 (Sprawl Detection)","OG5 (Performance Monitoring), OG3 (Agentic Governance)"
OP-AI10,Operational / Agent Infrastructure,New,High,Agent Identity and Authorization Sprawl,Every agent needs its own login credentials for every system it touches. Machines outnumber humans 80 to 1 in the identity system.,"OG9 (Access/Identity Mgmt), SE5 (Tool Access Control), SE6 (Multi-Agent Coordination)",OG13 (Sprawl Detection)
OP-AI11,Operational / Agent Infrastructure,New,High,Agent Platform and Orchestration Security,"The orchestration layer connecting agents to tools and data stores is a new attack surface. If compromised, all connected agents are controlled.","PL5 (Red-Teaming), PL11 (Skill/Vetting Registry), OG9 (Access/Identity Mgmt)","SE3 (Guardrails), OG7 (Incident Response), OG8 (Testing/Auditing)"
OP-AI12,Operational / Agent Infrastructure,New,High,Runtime Agent Behavioural Drift,"Your agent passed every test at deployment. Three months later, it produces different results from the same inputs. One test at deployment is not enough.","OG5 (Performance Monitoring), OG8 (Testing/Auditing)","HI3 (Runtime Intervention), OG7 (Incident Response), OG14 (Multi-Agent Auditing)"
OP-AI13,Operational / Agent Infrastructure,New,High,AI-Enabled Cyberattack Facilitation,"An agent that can write and run code, or browse the web, can be used as a weapon. Agent-driven cyberattack at machine speed.","PL5 (Red-Teaming), PL11 (Skill/Vetting Registry), SE5 (Tool Access Control)","SE3 (Guardrails), OG8 (Testing/Auditing)"
OP-AI14,Operational / Agent Infrastructure,New,Critical,Agent Hijacking for Customer Fraud,"Enterprise agents socially engineered, redirected, or repurposed to defraud the organization's own customers. (AIRI Domain 4.3, 353 incidents)","PL5 (Red-Teaming), PL6 (Agent Boundary Spec), SE3 (Guardrails)","HI1 (HITL), OG7 (Incident Response), OG8 (Testing/Auditing)"
OP-AI15,Operational / Agent Infrastructure,New,Critical,Dangerous Dual-Use Capability Emergence,"An agent deployed for a legitimate purpose turns out to be capable of something far more dangerous – and you discover this only after the fact. (AIRI Domain 7.2, 77 entries)","PL5 (Red-Teaming), PL6 (Agent Boundary Spec), OG5 (Performance Monitoring)","SE5 (Tool Access Control), OG8 (Testing/Auditing), EX5 (Dual-Use Monitoring)"
OP-MD1,Operational / AI Model Safety & Data,Expanded,High,Performance Degradation and Silent Model Regression,The agent that worked perfectly last week now gives noticeably worse answers – and nobody noticed. Degradation is gradual.,"OG4 (Data & Retrieval Monitoring), OG5 (Performance Monitoring)","OG8 (Testing/Auditing), OG1 (Continuous Improvement)"
OP-MD2,Operational / AI Model Safety & Data,Expanded,Critical,Model Bias and Discrimination in Outputs,"Agents make worse decisions for some groups than others – not by design, but because training data reflects historical inequalities. (AIRI Domain 1.1, 117 incidents)","SE2 (Model Alignment), OG8 (Testing/Auditing)","OG4 (Data & Retrieval Monitoring), PL9 (Societal Impact Assessment)"
OP-MD3,Operational / AI Model Safety & Data,Expanded,High,Model Explainability Deficit and Confabulated Reasoning,"When the agent makes a decision – can you explain why? The agent will give you a reason, but the reason may itself be made up.","SE1 (Explainable AI), HI6 (Intent Communication)",OG8 (Testing/Auditing)
